=== VULNERABLE (cleaned) ===
Lib_Network\s_COdbcGameChaDelete.cpp:43 [printf] HIGH | {call sp_UserCheckPass(%d,'%s', ?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_UserCheckPass(%d,'%s', ?)}", nUsrNum, szPass2 );
Lib_Network\s_COdbcGameChaDelete.cpp:66 [printf] HIGH | SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE U | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 512, "SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE UserNum=%d AND UserPass2='%s'", nUsrNum, szPas
Lib_Network\s_COdbcGameChaSave.cpp:273 [printf] HIGH | Exec sp_InsertChaLastInfo %d, '%s', %u | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp1, 512, "Exec sp_InsertChaLastInfo %d, '%s', %u",
Lib_Network\s_COdbcGameChaSave.cpp:295 [printf] HIGH | Exec sp_InsertUserLastInfo %u, '%s' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp2, 512, "Exec sp_InsertUserLastInfo %u, '%s'",
Lib_Network\s_COdbcGameClub.cpp:25 [printf] HIGH | {call sp_create_guild(%u,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_create_guild(%u,'%s',?)}",
Lib_Network\s_COdbcGameClub.cpp:103 [printf] HIGH | UPDATE GuildInfo SET GuExpireTime='%s' WHERE GuNum | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "UPDATE GuildInfo SET GuExpireTime='%s' WHERE GuNum=%u",
Lib_Network\s_COdbcGameClub.cpp:133 [printf] HIGH | UPDATE GuildInfo SET GuAllianceSec='%s' WHERE GuNu | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "UPDATE GuildInfo SET GuAllianceSec='%s' WHERE GuNum=%u",
Lib_Network\s_COdbcGameClub.cpp:163 [printf] HIGH | UPDATE GuildInfo SET GuAllianceDis='%s' WHERE GuNu | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "UPDATE GuildInfo SET GuAllianceDis='%s' WHERE GuNum=%u",
Lib_Network\s_COdbcGameClub.cpp:185 [printf] HIGH | UPDATE GuildInfo SET GuAuthorityTime='%s' WHERE Gu | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "UPDATE GuildInfo SET GuAuthorityTime='%s' WHERE GuNum=%u",
Lib_Network\s_COdbcGameClub.cpp:615 [printf] HIGH | UPDATE GuildInfo SET GuNotice='%s' WHERE GuNum=%u | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "UPDATE GuildInfo SET GuNotice='%s' WHERE GuNum=%u", szClubNotice, dwClub );
Lib_Network\s_COdbcGameInven.cpp:38 [printf] HIGH | Update UserInven Set ChaStorage2='%s' WHERE UserNu | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "Update UserInven Set ChaStorage2='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcGameInven.cpp:42 [printf] HIGH | Update UserInven Set ChaStorage3='%s' WHERE UserNu | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "Update UserInven Set ChaStorage3='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
