"Class","Family","File","Line","Priority","Details","Snippet"
"DEAD","comment-text","Lib_Network\ggsrv.cpp","18","-","commented-out / in /* */ block","//printf(""GGAuth version update [%s] : [%ld] -> [%ld] \n"","
"DEAD","comment-text","Lib_Network\ggsrv.h","108","-","commented-out / in /* */ block","printf(""GGAuth version update [%s] : [%ld] -> [%ld] \n"", // for examples"
"DEAD","comment-text","Lib_Network\s_CAgentServerMsg.cpp","875","-","commented-out / in /* */ block","CDebugSet::ToTracingFile( pCHAR_DATA->m_szUserName, ""Character Select!, [%s][%s], IP:[%s], Channel:[%d], UserNum:[%u], C"
"DEAD","comment-text","Lib_Network\s_CDbActionUser.cpp","543","-","commented-out / in /* */ block","CConsoleMessage::GetInstance()->Write(""CAgentDaumUserCheck::Execute pTemp==NULL"");"
"FALSE_POSITIVE","Format","Lib_Network\s_CHttpPatch.cpp","427","-","numeric-only dynamic SQL (not injectable): %d HTTP_STATUS_BAD_GATEWAY error response received | exec:N;esc:N","strError.Format(_T(""%d HTTP_STATUS_BAD_GATEWAY error response received from gateway""), dwErrCode);"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","37","-","literal-only SQL (no interpolation): SELECT UserNum, SGNum, ChaName, ChaClass, ChaBrigh | exec:Y;esc:N","_snprintf( szTemp, 512, ""SELECT UserNum, SGNum, ChaName, ChaClass, ChaBright, ChaStartMap, """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","197","-","numeric-only dynamic SQL (not injectable): SELECT TOP 16 ChaNum FROM ChaInfo WITH (NOLOCK) WH | exec:Y;esc:N","_snprintf( szTemp, 256, ""SELECT TOP 16 ChaNum FROM ChaInfo WITH (NOLOCK) WHERE UserNum=%d"""
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","268","-","numeric-only dynamic SQL (not injectable): {call InsertPartyMatch(%d,%d,%u,%u)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call InsertPartyMatch(%d,%d,%u,%u)}"", nSGNum, nSvrNum, wWin, wLost );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGame.cpp","298","-","placeholder stmt: {call UpdateChaExp(%I64d,%d,?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaExp(%I64d,%d,?)}"", llExp, nChaNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","332","-","literal-only SQL (no interpolation): SELECT ChaExp From ChaInfo  | exec:Y;esc:N","_snprintf( szTemp, 128, ""SELECT ChaExp From ChaInfo """
"PARAMETERIZED","printf","Lib_Network\s_COdbcGame.cpp","396","-","placeholder stmt: {call UpdateChaLastCallPos(%u,%f,%f,%f,%d,?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaLastCallPos(%u,%f,%f,%f,%d,?)}"", dwMapID, vPos.x, vPos.y, vPos.z, nChaNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","416","-","numeric-only dynamic SQL (not injectable): {call UpdateChaOnline(%d,0)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaOnline(%d,0)}"", nChaNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","436","-","numeric-only dynamic SQL (not injectable): {call UpdateChaOnline(%d,1)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaOnline(%d,1)}"", nChaNum );"
"FALSE_POSITIVE","concat/stream","Lib_Network\s_COdbcGame.cpp","449","-","literal-only SQL (no interpolation): {call UpdateAllCharacterOffline} | exec:Y;esc:N","strTemp << ""{call UpdateAllCharacterOffline}"";"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","453","-","literal-only SQL (no interpolation): {call UpdateAllCharacterOffline} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateAllCharacterOffline}"" );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","474","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","484","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","495","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","506","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","517","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","528","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","539","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:N;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","550","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:Y;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","561","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:Y;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","572","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:Y;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
